kegg.names labels type x y width height DCIS_1 DCIS_2 DCIS_3 DCIS_1.col DCIS_2.col DCIS_3.col
hsa:6477 6477 SIAH1 gene 774 629 46 17 0.646416756051718 -0.837669961606038 -0.307055808621424 #D3D3D3 #00FF00 #6AE96A
hsa:3486 3486 IGFBP3 gene 669 550 46 17 0.259182508300414 0.440777343387712 0.52950635612508 #D3D3D3 #D3D3D3 #D3D3D3
hsa:10912 10912 GADD45G gene 669 509 46 17 0.491077104085627 0.505918161519714 0.387119040988889 #D3D3D3 #D3D3D3 #D3D3D3
hsa:1647 1647 GADD45A gene 669 509 46 17 -0.769000246819754 0.845135787175857 -0.184579190174202 #00FF00 #DE9E9E #6AE96A
hsa:4616 4616 GADD45B gene 669 509 46 17 0.358359049977752 1.39900130907392 0.342704468974144 #D3D3D3 #E96A6A #D3D3D3
hsa:4194 4194 MDM4 gene 307 452 46 17 -0.0112519671189482 0.00261007626857612 0.00868872288366962 #9EDE9E #9EDE9E #9EDE9E
hsa:1111 1111 CHEK1 gene 412 228 46 17 -0.000171589490552293 0.0979009111290861 0.282746744215436 #9EDE9E #9EDE9E #D3D3D3
hsa:545 545 ATR gene 333 228 46 17 0.573667036300242 0.181911894817221 -0.183156062168949 #D3D3D3 #9EDE9E #6AE96A
hsa:11200 11200 CHEK2 gene 456 201 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
hsa:472 472 ATM gene 333 201 46 17 0.0307251010902663 -0.0454877381610626 -0.255262263862979 #9EDE9E #9EDE9E #6AE96A
hsa:56475 56475 RPRM gene 564 176 46 17 -0.205022397186405 -0.0863420472374603 -0.0501241464742908 #6AE96A #9EDE9E #9EDE9E
hsa:2810 2810 SFN gene 564 152 46 17 -1.28642491481922 0.345253174086826 0.437721458043622 #00FF00 #D3D3D3 #D3D3D3
hsa:1017 1017 CDK2 gene 693 141 46 17 -0.111980370889039 -0.075662005104002 0.0178215428265656 #6AE96A #9EDE9E #9EDE9E
hsa:898 898 CCNE1 gene 693 124 46 17 -0.218286047853683 -0.276567430982684 0.576346383541018 #6AE96A #6AE96A #D3D3D3
hsa:9134 9134 CCNE2 gene 693 124 46 17 0.197635126261666 0.256258077915155 0.130917497583111 #9EDE9E #D3D3D3 #9EDE9E
hsa:7249 7249 TSC2 gene 617 550 46 17 0.183772966630276 0.0268800430251517 -0.192227574382712 #9EDE9E #9EDE9E #6AE96A
hsa:8493 8493 PPM1D gene 827 629 46 17 0.24675185770432 -0.154743341634757 0.295900677862122 #D3D3D3 #6AE96A #D3D3D3
hsa:7161 7161 TP73 gene 879 629 46 17 -0.146388819570559 -0.0788161338694824 -0.0632149691594046 #6AE96A #9EDE9E #9EDE9E
hsa:900 900 CCNG1 gene 721 629 46 17 0.386583995111707 0.47712639097416 -0.490087031101618 #D3D3D3 #D3D3D3 #35F435
hsa:901 901 CCNG2 gene 721 629 46 17 1.20172482251799 -0.0723310330567202 -0.200104381590882 #E96A6A #9EDE9E #6AE96A
hsa:64326 64326 RFWD2 gene 617 629 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
hsa:50484 50484 RRM2B gene 617 509 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
hsa:6241 6241 RRM2 gene 617 509 46 17 0.497240238719733 1.23601532433602 1.11657961889617 #D3D3D3 #E96A6A #E96A6A
hsa:1643 1643 DDB2 gene 564 509 46 17 -0.3001122204141 0.0614767038902944 -0.390854361969895 #6AE96A #9EDE9E #6AE96A
hsa:55240 55240 STEAP3 gene 564 589 46 17 -1.93271753041962 0.39809300085302 0.483777932651496 #00FF00 #D3D3D3 #D3D3D3
hsa:5728 5728 PTEN gene 564 550 46 17 0.107305665252312 0.203854027029452 -0.0181797603273957 #9EDE9E #D3D3D3 #9EDE9E
hsa:5268 5268 SERPINB5 gene 827 468 46 17 0.224422947979959 -1.02992951241353 -0.667127539594366 #D3D3D3 #00FF00 #35F435
hsa:3732 3732 CD82 gene 669 468 46 17 -0.315623948123143 0.186562954371201 0.0304387009665801 #6AE96A #9EDE9E #9EDE9E
hsa:7057 7057 THBS1 gene 774 468 46 17 1.23961350635988 0.248782213270586 0.632438830029195 #E96A6A #D3D3D3 #D3D3D3
hsa:3479 3479 IGF1 gene 674 427 46 17 -0.100061027565015 -2.98591865676886 -1.78270781512024 #6AE96A #00FF00 #00FF00
hsa:5054 5054 SERPINE1 gene 564 468 46 17 0.397292919594479 1.06146319607802 0.0284952936693319 #D3D3D3 #DE9E9E #9EDE9E
hsa:575 575 BAI1 gene 617 468 46 17 -0.0695354319430646 0.009624547822213 0.0684160108422498 #9EDE9E #9EDE9E #9EDE9E
hsa:1029 1029 CDKN2A gene 239 388 46 17 0.129198738972622 0.574884755521559 0.306605431691129 #9EDE9E #D3D3D3 #D3D3D3
hsa:1026 1026 CDKN1A gene 564 117 46 17 -0.220442884687539 1.96645905034228 0.230401121553779 #6AE96A #FF0000 #D3D3D3
hsa:64393 64393 ZMAT3 gene 669 388 46 17 0.0495123548694325 -0.187136030760341 -0.31621665085595 #9EDE9E #6AE96A #6AE96A
hsa:637 637 BID gene 777 300 46 17 -0.108286535567578 0.242819639330903 0.369645512606745 #6AE96A #D3D3D3 #D3D3D3
hsa:9538 9538 EI24 gene 564 357 46 17 -0.0106389061561387 0.274712194056136 -0.332324582697893 #9EDE9E #D3D3D3 #6AE96A
hsa:9540 9540 TP53I3 gene 564 357 46 17 -0.190120327768543 0.275410898233417 0.295486229543482 #6AE96A #D3D3D3 #D3D3D3
hsa:355 355 FAS gene 564 266 46 17 -0.166781722277677 -0.828295106286729 -0.400605385849035 #6AE96A #00FF00 #35F435
hsa:51512 51512 GTSE1 gene 564 232 46 17 -0.115805214135106 0.209611404968792 0.430244815909322 #6AE96A #D3D3D3 #D3D3D3
hsa:581 581 BAX gene 564 322 46 17 0.253685655381136 0.111314023685376 0.194644428912895 #D3D3D3 #9EDE9E #9EDE9E
hsa:55367 55367 PIDD1 gene 564 288 46 17 -0.390286081799772 0.0226925723798503 -0.135507761187946 #6AE96A #9EDE9E #6AE96A
hsa:8795 8795 TNFRSF10B gene 617 276 46 17 -0.586263279604029 -0.0431745639171899 0.083565805304497 #35F435 #9EDE9E #9EDE9E
hsa:841 841 CASP8 gene 701 276 46 17 0.488917188898018 -0.162674384027617 0.0669860539264171 #D3D3D3 #6AE96A #9EDE9E
hsa:983 983 CDK1 gene 693 209 46 17 0.437569058462517 0.194175874742867 0.224348480148516 #D3D3D3 #9EDE9E #D3D3D3
hsa:317 317 APAF1 gene 907 374 46 17 -0.222081892905235 -0.0902834058279041 0.235011215168559 #6AE96A #9EDE9E #D3D3D3
hsa:54205 54205 CYCS gene 907 342 46 17 0.94788880152522 0.723235257631901 -0.00974067489901387 #DE9E9E #D3D3D3 #9EDE9E
hsa:842 842 CASP9 gene 1010 358 46 17 -0.539304706652652 -0.112904507397538 -0.416248730571019 #35F435 #6AE96A #35F435
hsa:4193 4193 MDM2 gene 307 388 46 17 -0.00880058559427077 0.000918969304350092 0.00334355370942507 #9EDE9E #9EDE9E #9EDE9E
hsa:7157 7157 TP53 gene 397 388 46 17 -0.453705392973908 0.0559209324608556 0.763676446406664 #35F435 #9EDE9E #D3D3D3
hsa:25898 25898 RCHY1 gene 669 629 46 17 1.28496366196575 -0.101973579352221 -0.628971125287682 #E96A6A #6AE96A #35F435
hsa:1019 1019 CDK4 gene 693 96 46 17 -0.0957100042655767 -0.0847039964670966 0.530312082310878 #9EDE9E #9EDE9E #D3D3D3
hsa:1021 1021 CDK6 gene 693 96 46 17 -0.161464130095856 -0.0759155674408367 0.0032713640911064 #6AE96A #9EDE9E #9EDE9E
hsa:595 595 CCND1 gene 693 79 46 17 0.763665438366051 1.05257327253349 0.322500922656075 #D3D3D3 #DE9E9E #D3D3D3
hsa:894 894 CCND2 gene 693 79 46 17 -0.30310051554716 -1.3828259407774 -1.63819150530064 #6AE96A #00FF00 #00FF00
hsa:896 896 CCND3 gene 693 79 46 17 -0.627568872792258 0.150207897412306 -0.0665179959236895 #35F435 #9EDE9E #9EDE9E
hsa:64065 64065 PERP gene 617 388 46 17 -0.0458715661169915 -0.0178753538143894 -0.168402160593555 #9EDE9E #9EDE9E #6AE96A
hsa:51246 51246 SHISA5 gene 564 388 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
hsa:143686 143686 SESN3 gene 721 509 46 17 NA NA NA #FFFFFF #FFFFFF #FFFFFF
hsa:27244 27244 SESN1 gene 721 509 46 17 -1.08255232356895 -0.344268699661624 -0.749338839229235 #00FF00 #6AE96A #00FF00
